request_id,seq_prompt,seq_generate,total_latency_s,tokens_per_s,peak_alloc_bytes,peak_reserved_bytes,peak_alloc_gb,peak_reserved_gb,backend,model,timestamp,error
0,512,64,6.299036502838135,10.160284032512552,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709746.1213322,
0,512,64,5.790189027786255,11.053179730898858,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709752.4209378,
1,512,64,5.851972341537476,10.936483678455907,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709758.2113304,
0,512,64,6.435696840286255,9.944533061186476,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709764.0637686,
1,512,64,4.765248537063599,13.43056915126562,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709770.499644,
2,512,64,5.217225551605225,12.267056382162473,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709775.2651792,
3,512,64,4.601142883300781,13.909587601002187,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709780.4827027,
0,512,64,5.229895830154419,12.23733743050678,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709785.0843065,
1,512,64,5.088677883148193,12.576940704371204,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709790.3143673,
2,512,64,5.0126330852508545,12.767740808381381,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709795.4032176,
3,512,64,5.426100254058838,11.794842889629,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709800.4160125,
4,512,64,5.308451414108276,12.0562467294901,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709805.8422763,
5,512,64,5.194051027297974,12.321788843359476,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709811.1509082,
6,512,64,5.042343616485596,12.692510639448768,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709816.34513,
7,512,64,5.230933666229248,12.23490949869659,0,0,0.0,0.0,huggingface,facebook/opt-1.3b,1756709821.3876486,
